,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
834,3.64,11.85,3/31/2008,158.92,155.68,52.94,52.94,8.01,2.28,158.06,0.03,0.3,12.0,Metal Link Alloys Ltd.,15.49
835,3.64,13.63,3/31/2009,168.49,168.04,66.02,66.02,9.91,1.99,167.17,-4.3,-0.35,12.0,Metal Link Alloys Ltd.,17.27
836,3.64,16.58,3/31/2010,185.46,182.9,83.28,83.28,20.69,3.17,184.51,7.29,-5.26,12.0,Metal Link Alloys Ltd.,20.22
837,3.64,19.35,3/31/2011,230.29,221.17,96.68,96.68,62.84,3.88,229.64,2.82,-1.08,12.0,Metal Link Alloys Ltd.,22.990000000000002
838,3.64,24.93,3/31/2012,314.12,311.31,148.63,148.63,98.37,5.66,312.68,-15.09,-2.46,12.0,Metal Link Alloys Ltd.,28.57
839,3.64,7.93,3/31/2013,283.24,300.62,112.74,112.74,93.13,-17.0,282.03,14.11,-11.71,12.0,Metal Link Alloys Ltd.,11.57
840,5.61,4.59,3/31/2002,33.63,33.9,18.83,18.83,0.69,1.14,32.8,3.57,-0.39,12.0,Micro Forge (India) Ltd.,10.2
841,5.61,5.82,3/31/2003,31.74,29.86,23.73,23.73,1.6,1.14,30.05,-1.88,-0.99,12.0,Micro Forge (India) Ltd.,11.43
842,5.61,6.59,3/31/2004,30.8,31.18,29.55,29.55,3.24,0.77,29.83,-2.08,-1.39,12.0,Micro Forge (India) Ltd.,12.2
843,5.61,2.94,3/31/2005,48.06,51.43,33.36,33.36,10.0,-3.65,46.27,4.05,-5.04,12.0,Micro Forge (India) Ltd.,8.55
844,5.61,3.23,3/31/2006,55.74,57.46,39.54,39.54,15.82,0.28,53.96,1.17,-0.28,12.0,Micro Forge (India) Ltd.,8.84
845,5.61,6.33,3/31/2007,79.74,77.22,36.28,36.28,8.72,3.1,71.72,0.89,-0.11,12.0,Micro Forge (India) Ltd.,11.940000000000001
846,5.61,-10.91,3/31/2008,79.16,96.9,39.41,39.41,8.99,-17.24,78.28,-10.83,-6.68,12.0,Micro Forge (India) Ltd.,-5.3
847,5.61,-20.36,3/31/2009,23.63,24.55,27.05,27.05,3.83,-9.45,20.83,4.24,-1.03,12.0,Micro Forge (India) Ltd.,-14.75
848,5.61,-25.18,3/31/2010,0.85,5.67,26.97,26.97,8.57,-4.82,0.82,-0.08,0.01,12.0,Micro Forge (India) Ltd.,-19.57
849,5.61,-25.54,3/31/2011,3.14,3.7,26.62,26.62,8.58,-0.36,3.14,0.02,0.06,12.0,Micro Forge (India) Ltd.,-19.93
850,,,,,,,,,,,,,,Mukund Syntex Ltd.,
851,,,,,,,,,,,,,,Mukund Syntex Ltd.,
852,,,,,,,,,,,,,,Mukund Syntex Ltd.,
853,,,,,,,,,,,,,,Mukund Syntex Ltd.,
854,,,,,,,,,,,,,,Mukund Syntex Ltd.,
855,0.96,0.62,3/31/1994,21.63,21.71,9.04,9.04,1.92,0.2,21.61,,,12.0,Mukund Syntex Ltd.,1.58
856,4.27,1.37,3/31/1995,24.77,24.29,10.74,10.74,2.27,0.75,24.65,,,12.0,Mukund Syntex Ltd.,5.64
857,4.27,-0.3,3/31/1996,24.18,27.34,10.36,10.36,3.16,-1.67,24.14,0.71,-0.36,12.0,Mukund Syntex Ltd.,3.9699999999999998
858,4.28,-0.27,3/31/1997,18.87,17.39,9.7,9.7,2.82,0.03,18.85,1.16,-0.16,12.0,Mukund Syntex Ltd.,4.01
859,4.28,-1.4,3/31/1998,11.85,12.67,7.1,7.1,1.58,-1.13,11.8,0.68,0.02,12.0,Mukund Syntex Ltd.,2.8800000000000003
860,4.22,5.32,6/30/1995,15.9,12.55,18.63,18.63,3.93,3.01,13.92,,,12.0,Nachmo Knitex Ltd.,9.54
861,4.22,7.51,6/30/1996,22.68,19.75,25.4,25.4,7.31,3.12,21.68,1.91,-2.13,12.0,Nachmo Knitex Ltd.,11.73
862,9.9,31.33,6/30/1997,25.56,25.13,73.71,73.71,6.33,3.16,23.3,-1.96,-38.37,12.0,Nachmo Knitex Ltd.,41.23
863,12.87,36.75,6/30/1998,44.4,38.15,80.34,80.34,6.39,3.87,42.99,3.75,-8.88,12.0,Nachmo Knitex Ltd.,49.62
864,12.87,38.66,6/30/1999,58.29,57.99,91.78,91.78,6.81,3.34,57.75,4.85,-10.36,12.0,Nachmo Knitex Ltd.,51.529999999999994
865,12.87,41.02,6/30/2000,90.16,86.05,98.35,98.35,6.3,3.93,89.61,7.17,-0.52,12.0,Nachmo Knitex Ltd.,53.89
866,12.87,40.96,12/31/2001,143.97,144.04,121.02,121.02,11.68,-0.07,143.21,-4.11,0.78,18.0,Nachmo Knitex Ltd.,53.83
867,15.03,-13.85,3/31/2006,93.96,102.51,67.44,67.44,9.24,-8.76,93.76,10.8,0.11,15.0,Nachmo Knitex Ltd.,1.1799999999999997
868,15.03,-18.6,3/31/2007,66.54,71.16,64.02,64.02,11.37,-4.74,66.5,1.65,-0.13,12.0,Nachmo Knitex Ltd.,-3.570000000000002
869,15.03,-47.7,3/31/2008,47.77,77.69,40.76,40.76,16.78,-29.1,47.71,0.5,-0.19,12.0,Nachmo Knitex Ltd.,-32.67
870,,,,,,,,,,,,,,Neel Industries Pvt. Ltd.,
871,0.86,12.21,3/31/2013,66.47,65.31,33.84,33.84,20.75,1.89,66.42,-0.44,0.59,12.0,Neel Industries Pvt. Ltd.,13.07
872,0.86,14.95,3/31/2014,93.88,93.79,37.54,37.54,21.73,2.75,93.84,0.36,-0.27,12.0,Neel Industries Pvt. Ltd.,15.809999999999999
873,0.86,18.44,3/31/2015,96.42,94.31,35.52,35.52,15.98,0.88,96.37,1.9,-0.88,12.0,Neel Industries Pvt. Ltd.,19.3
874,0.86,19.19,3/31/2016,94.12,92.18,34.27,34.27,13.98,0.76,94.1,2.2,-0.97,12.0,Neel Industries Pvt. Ltd.,20.05
875,0.86,17.9,3/31/2017,88.76,91.88,38.0,38.0,19.0,-1.29,88.64,1.04,-1.65,12.0,Neel Industries Pvt. Ltd.,18.759999999999998
876,0.86,18.94,3/31/2018,109.47,106.09,46.1,46.1,26.06,1.04,109.41,2.22,-1.16,12.0,Neel Industries Pvt. Ltd.,19.8
877,0.86,19.77,3/31/2019,144.26,144.45,47.85,47.85,26.98,0.83,144.21,-1.34,-0.42,12.0,Neel Industries Pvt. Ltd.,20.63
878,0.86,20.19,3/31/2020,111.56,110.8,40.57,40.57,19.28,0.42,111.53,2.94,-0.41,12.0,Neel Industries Pvt. Ltd.,21.05
879,0.86,20.63,3/31/2021,94.28,94.44,43.48,43.48,21.75,0.43,94.26,1.86,-0.27,12.0,Neel Industries Pvt. Ltd.,21.49
880,0.19,-2.96,3/31/2012,2.59,4.08,2.07,2.07,3.46,-1.6,2.58,-0.69,-0.08,12.0,Nilgiri Tea Estates Ltd.,-2.77
881,0.19,-3.95,3/31/2013,3.86,5.03,2.63,2.63,4.78,-0.99,3.86,-0.49,-0.05,12.0,Nilgiri Tea Estates Ltd.,-3.7600000000000002
882,0.19,-4.76,3/31/2014,4.4,5.5,3.23,3.23,5.97,-0.81,4.39,-0.08,-0.08,12.0,Nilgiri Tea Estates Ltd.,-4.569999999999999
883,0.19,-6.01,3/31/2015,4.3,5.23,2.63,2.63,6.47,-1.26,4.28,-0.84,1.17,12.0,Nilgiri Tea Estates Ltd.,-5.819999999999999
884,0.19,-8.21,3/31/2016,3.35,5.46,2.75,2.75,8.68,-2.2,3.33,-1.43,1.04,12.0,Nilgiri Tea Estates Ltd.,-8.020000000000001
885,0.19,-10.28,3/31/2017,4.09,6.29,2.87,2.87,10.54,-2.07,4.07,-1.17,1.18,12.0,Nilgiri Tea Estates Ltd.,-10.09
886,0.19,-11.73,3/31/2018,6.0,7.41,2.92,2.92,11.91,-1.45,5.98,-0.72,0.79,12.0,Nilgiri Tea Estates Ltd.,-11.540000000000001
887,0.19,-12.14,3/31/2019,8.77,9.24,3.73,3.73,13.03,-0.4,5.49,-2.6,3.32,12.0,Nilgiri Tea Estates Ltd.,-11.950000000000001
888,0.19,-14.81,3/31/2020,4.79,7.62,3.86,3.86,15.28,-2.67,4.64,-0.88,0.33,12.0,Nilgiri Tea Estates Ltd.,-14.620000000000001
889,0.19,-16.65,3/31/2021,4.95,6.63,3.94,3.94,17.24,-1.84,4.53,-0.58,-0.15,12.0,Nilgiri Tea Estates Ltd.,-16.459999999999997
890,,,,,,,,,,,,,,Nova Oleochem Ltd.,
891,,,,,,,,,,,,,,Nova Oleochem Ltd.,
892,,,,,,,,,,,,,,Nova Oleochem Ltd.,
893,0.12,0.08,3/31/2007,3.36,3.66,1.29,1.29,0.68,0.0,3.19,,,12.0,Nova Oleochem Ltd.,0.2
894,7.15,0.1,3/31/2008,4.67,5.22,9.55,9.55,1.92,0.08,4.4,,,12.0,Nova Oleochem Ltd.,7.25
895,7.15,0.7,3/31/2010,33.24,33.12,19.33,19.33,1.49,0.54,33.21,,,12.0,Nova Oleochem Ltd.,7.8500000000000005
896,7.31,5.87,3/31/2011,59.32,60.35,32.92,32.92,18.22,1.04,59.25,-0.23,-2.25,12.0,Nova Oleochem Ltd.,13.18
897,7.31,7.35,3/31/2012,90.7,87.56,47.74,47.74,30.95,1.5,90.22,-4.96,-0.74,12.0,Nova Oleochem Ltd.,14.66
898,7.31,8.98,3/31/2013,80.81,79.81,60.78,60.78,40.93,1.67,79.6,-3.3,0.47,12.0,Nova Oleochem Ltd.,16.29
899,7.49,9.13,3/31/2014,39.94,38.28,47.71,47.71,17.82,-0.13,37.29,0.92,0.32,12.0,Nova Oleochem Ltd.,16.62
900,,,,,,,,,,,,,,Nucor Wires Ltd.,
901,,,,,,,,,,,,,,Nucor Wires Ltd.,
902,,,,,,,,,,,,,,Nucor Wires Ltd.,
903,,,,,,,,,,,,,,Nucor Wires Ltd.,
904,,,,,,,,,,,,,,Nucor Wires Ltd.,
905,,,,,,,,,,,,,,Nucor Wires Ltd.,
906,4.5,0.36,3/31/1994,2.3,2.5,14.44,14.44,1.3,0.36,2.3,,,12.0,Nucor Wires Ltd.,4.86
907,6.75,5.58,3/31/1995,10.62,8.85,24.35,24.35,2.43,1.64,10.6,,,12.0,Nucor Wires Ltd.,12.33
908,6.75,7.59,3/31/1996,14.69,13.49,29.14,29.14,2.95,2.01,14.66,1.54,-2.78,12.0,Nucor Wires Ltd.,14.34
909,6.75,-0.48,9/30/1997,5.63,14.73,27.71,27.71,4.34,-8.07,5.61,-0.69,-0.68,18.0,Nucor Wires Ltd.,6.27
910,3.99,0.46,3/31/1993,20.49,19.98,8.56,8.56,1.16,0.45,20.17,,,12.0,Nufab Industries Ltd.,4.45
911,3.99,1.02,3/31/1994,31.79,30.66,11.86,11.86,2.76,1.2,31.59,,,12.0,Nufab Industries Ltd.,5.01
912,3.99,1.62,3/31/1995,36.33,35.84,16.85,16.85,2.34,1.32,36.12,-0.22,-3.07,12.0,Nufab Industries Ltd.,5.61
913,3.99,2.51,3/31/1996,45.08,43.8,18.2,18.2,2.78,1.28,44.77,1.93,-0.63,12.0,Nufab Industries Ltd.,6.5
914,3.99,3.89,6/30/1997,52.09,51.17,23.21,23.21,4.36,0.92,51.69,5.02,-4.7,15.0,Nufab Industries Ltd.,7.880000000000001
915,3.99,2.63,6/30/1998,33.52,35.01,19.58,19.58,2.6,-1.27,33.26,2.71,-0.35,12.0,Nufab Industries Ltd.,6.62
916,3.99,0.44,6/30/1999,25.49,28.35,17.8,17.8,3.47,-2.19,25.38,3.05,-0.4,12.0,Nufab Industries Ltd.,4.430000000000001
917,3.99,-2.0,12/31/2000,40.7,43.53,14.22,14.22,4.17,-2.44,40.65,,,18.0,Nufab Industries Ltd.,1.9900000000000002
918,3.99,-7.77,6/30/2002,44.56,48.78,9.8,9.8,3.97,-5.77,44.51,2.22,-0.37,18.0,Nufab Industries Ltd.,-3.7799999999999994
919,3.99,-9.89,12/31/2003,11.81,13.62,7.21,7.21,3.41,-2.12,11.76,0.36,-0.01,18.0,Nufab Industries Ltd.,-5.9
920,10.0,28.93,3/31/2008,3.34,2.14,47.65,47.65,8.72,1.2,,,,12.0,O T C Exchange Of India,38.93
921,10.0,30.76,3/31/2009,3.23,2.41,49.74,49.74,8.98,0.82,,,,12.0,O T C Exchange Of India,40.760000000000005
922,10.0,33.08,3/31/2010,3.28,1.97,52.46,52.46,9.38,1.31,,,,12.0,O T C Exchange Of India,43.08
923,10.0,27.33,3/31/2011,3.49,1.67,49.75,49.75,12.42,1.82,,,,12.0,O T C Exchange Of India,37.33
924,10.0,39.73,3/31/2012,4.04,1.61,58.98,58.98,6.12,2.43,0.17,,,12.0,O T C Exchange Of India,49.73
925,10.0,42.7,3/31/2013,3.93,2.18,61.44,61.44,6.07,1.75,0.18,,,12.0,O T C Exchange Of India,52.7
926,10.0,45.92,3/31/2014,3.69,1.81,64.37,64.37,8.26,1.88,0.18,,,12.0,O T C Exchange Of India,55.92
927,10.0,40.82,3/31/2015,4.77,3.85,60.37,60.37,9.36,0.92,0.21,-1.43,3.8,12.0,O T C Exchange Of India,50.82
928,10.0,36.02,3/31/2016,4.29,2.64,65.07,65.07,12.22,1.65,0.22,-1.72,1.0,12.0,O T C Exchange Of India,46.02
929,10.0,37.25,3/31/2017,4.47,3.04,63.13,63.13,9.06,1.43,0.22,0.99,-2.04,12.0,O T C Exchange Of India,47.25
930,,,,,,,,,,,,,,Ojas Technochem Products Ltd.,
931,,,,,,,,,,,,,,Ojas Technochem Products Ltd.,
932,,,,,,,,,,,,,,Ojas Technochem Products Ltd.,
933,,,,,,,,,,,,,,Ojas Technochem Products Ltd.,
934,,,,,,,,,,,,,,Ojas Technochem Products Ltd.,
935,5.75,0.8,3/31/1996,1.56,9.31,8.24,8.24,0.97,-7.66,1.16,,,12.0,Ojas Technochem Products Ltd.,6.55
936,5.75,0.12,3/31/1997,0.85,1.59,7.36,7.36,0.93,-0.77,0.85,,,12.0,Ojas Technochem Products Ltd.,5.87
937,5.75,-0.1,3/31/1998,1.1,1.33,7.05,7.05,0.25,-0.22,0.78,,,12.0,Ojas Technochem Products Ltd.,5.65
938,6.59,-0.48,3/31/1999,0.59,0.99,6.98,6.98,0.27,-0.38,0.59,0.14,,12.0,Ojas Technochem Products Ltd.,6.109999999999999
939,12.59,-0.31,3/31/2000,6.53,9.42,15.18,15.18,2.24,0.17,6.53,-6.44,0.39,12.0,Ojas Technochem Products Ltd.,12.28
940,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
941,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
942,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
943,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
944,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
945,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
946,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
947,,,,,,,,,,,,,,Pal-Peugeot Ltd.,
948,84.03,24.34,6/30/1995,258.76,246.96,368.59,368.59,138.22,24.34,258.74,31.25,-145.68,11.0,Pal-Peugeot Ltd.,108.37
949,261.97,-79.25,9/30/1996,368.36,484.15,680.85,680.85,311.56,-103.59,353.52,-67.26,-86.67,15.0,Pal-Peugeot Ltd.,182.72000000000003
950,,,,,,,,,,,,,,Pam Systems Pvt. Ltd.,
951,,,,,,,,,,,,,,Pam Systems Pvt. Ltd.,
952,,,,,,,,,,,,,,Pam Systems Pvt. Ltd.,
953,0.2,0.23,3/31/2014,2.8,2.52,1.91,1.91,1.37,0.1,2.77,,,12.0,Pam Systems Pvt. Ltd.,0.43000000000000005
954,0.2,0.5,3/31/2015,5.61,5.24,3.1,3.1,2.25,0.27,5.31,0.8,-0.09,12.0,Pam Systems Pvt. Ltd.,0.7
955,0.2,1.14,3/31/2016,8.29,7.52,3.45,3.45,1.98,0.64,7.99,-0.93,-0.12,12.0,Pam Systems Pvt. Ltd.,1.3399999999999999
956,0.4,1.81,3/31/2017,5.54,4.87,4.96,4.96,2.56,0.67,5.44,0.13,-0.35,12.0,Pam Systems Pvt. Ltd.,2.21
957,0.4,2.8,3/31/2018,9.09,8.63,6.43,6.43,3.06,0.99,9.05,-0.02,-0.31,12.0,Pam Systems Pvt. Ltd.,3.1999999999999997
958,0.4,3.68,3/31/2019,12.52,11.61,9.05,9.05,4.73,0.88,12.33,-1.23,-0.05,12.0,Pam Systems Pvt. Ltd.,4.08
959,0.4,3.3,3/31/2020,8.38,9.11,7.65,7.65,3.75,-0.37,8.13,0.75,-0.26,12.0,Pam Systems Pvt. Ltd.,3.6999999999999997
960,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
961,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
962,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
963,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
964,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
965,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
966,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
967,,,,,,,,,,,,,,Pat-Parth Engineers Ltd.,
968,1.56,0.01,3/31/1996,0.37,0.36,5.7,5.7,1.4,0.01,0.37,0.35,-2.44,12.0,Pat-Parth Engineers Ltd.,1.57
969,3.9,0.09,3/31/1997,5.01,4.72,9.03,9.03,3.49,0.29,4.9,-0.28,-2.87,12.0,Pat-Parth Engineers Ltd.,3.9899999999999998
970,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
971,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
972,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
973,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
974,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
975,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
976,,,,,,,,,,,,,,Phar-East Laboratories Ltd.,
977,2.15,0.35,3/31/1994,7.87,7.58,6.37,6.37,2.37,0.44,7.85,,,12.0,Phar-East Laboratories Ltd.,2.5
978,2.18,0.81,3/31/1995,14.66,15.3,13.99,13.99,7.49,0.9,14.63,,,12.0,Phar-East Laboratories Ltd.,2.99
979,3.48,3.11,3/31/1996,22.98,22.71,23.32,23.32,9.25,0.85,22.92,-5.36,-1.77,12.0,Phar-East Laboratories Ltd.,6.59
980,,,,,,,,,,,,,,Planet 'M' Retail Ltd.,
981,,,,,,,,,,,,,,Planet 'M' Retail Ltd.,
982,1.0,-6.53,3/31/2008,41.56,87.06,223.98,223.98,27.31,-6.53,41.49,-104.83,-91.74,14.0,Planet 'M' Retail Ltd.,-5.53
983,1.1,-51.32,3/31/2009,166.06,222.16,248.15,248.15,293.08,-44.79,165.86,228.2,-21.11,12.0,Planet 'M' Retail Ltd.,-50.22
984,1.1,-91.24,3/31/2010,200.64,246.41,220.43,220.43,303.29,-39.92,200.59,6.0,0.74,12.0,Planet 'M' Retail Ltd.,-90.14
985,1.1,-161.29,3/31/2011,224.73,296.97,193.05,193.05,346.72,-70.05,224.69,-3.69,-3.11,12.0,Planet 'M' Retail Ltd.,-160.19
986,1.1,-177.55,3/31/2012,190.49,190.26,163.61,163.61,334.66,-16.25,190.39,0.45,-0.75,12.0,Planet 'M' Retail Ltd.,-176.45000000000002
987,1.1,-217.24,3/31/2013,211.5,247.26,160.8,160.8,73.09,-39.69,206.45,-255.03,-0.17,12.0,Planet 'M' Retail Ltd.,-216.14000000000001
988,1.1,-226.53,3/31/2014,202.04,211.33,150.31,150.31,73.16,-9.29,201.98,1.33,-1.43,12.0,Planet 'M' Retail Ltd.,-225.43
989,1.1,-241.87,3/31/2015,156.51,168.17,139.89,139.89,80.41,-15.34,156.48,0.38,-0.51,12.0,Planet 'M' Retail Ltd.,-240.77
990,7.6,200.78,9/30/2004,308.38,196.29,279.74,279.74,14.02,105.59,202.64,110.88,-99.68,15.0,Plethico Pharmaceuticals Ltd.,208.38
991,7.6,254.75,9/30/2005,225.36,168.35,353.41,353.41,15.26,56.13,224.12,28.52,-39.27,12.0,Plethico Pharmaceuticals Ltd.,262.35
992,34.07,409.73,9/30/2006,329.71,245.8,575.66,575.66,27.16,86.03,320.8,-25.44,-36.46,12.0,Plethico Pharmaceuticals Ltd.,443.8
993,34.07,558.99,12/31/2007,574.82,415.39,1018.3,1018.3,30.68,158.34,555.14,67.4,-255.34,15.0,Plethico Pharmaceuticals Ltd.,593.0600000000001
994,34.07,575.55,12/31/2008,540.92,479.53,1314.07,1314.07,38.68,60.85,477.77,58.84,-336.52,12.0,Plethico Pharmaceuticals Ltd.,609.62
995,34.07,644.06,12/31/2009,499.38,392.94,1318.1,1318.1,36.6,107.04,476.98,149.9,-30.38,12.0,Plethico Pharmaceuticals Ltd.,678.13
996,34.07,665.17,12/31/2010,470.82,411.24,1349.75,1349.75,53.94,57.91,454.69,102.71,-48.25,12.0,Plethico Pharmaceuticals Ltd.,699.24
997,34.07,611.03,12/31/2011,494.63,537.95,1635.3,1635.3,787.24,-37.64,415.29,-118.68,-31.43,12.0,Plethico Pharmaceuticals Ltd.,645.1
998,34.07,513.3,12/31/2012,546.49,555.31,1704.21,1704.21,997.26,-7.89,477.01,-51.01,-0.97,12.0,Plethico Pharmaceuticals Ltd.,547.37
999,34.07,504.57,3/31/2014,610.08,613.37,1703.55,1703.55,1068.21,-8.73,537.95,42.32,2.65,15.0,Plethico Pharmaceuticals Ltd.,538.64
1000,11.11,-2.5,3/31/2002,32.37,34.63,70.97,70.97,10.52,0.4,29.32,,,12.0,Polar Pharma India Ltd.,8.61
1001,11.97,-2.45,3/31/2003,51.71,54.3,73.19,73.19,9.72,0.04,51.05,6.31,-4.41,12.0,Polar Pharma India Ltd.,9.52
1002,11.97,-2.61,3/31/2004,45.55,50.2,74.33,74.33,9.14,-0.16,44.78,5.43,-3.57,12.0,Polar Pharma India Ltd.,9.360000000000001
1003,11.97,-7.98,3/31/2005,36.08,37.74,67.5,67.5,6.57,-5.36,35.61,6.49,-0.72,12.0,Polar Pharma India Ltd.,3.99
1004,12.27,-0.74,3/31/2006,70.36,65.06,74.64,74.64,15.52,6.48,48.18,20.5,-1.21,12.0,Polar Pharma India Ltd.,11.53
1005,12.27,-8.74,3/31/2007,20.67,26.9,68.22,68.22,11.89,-9.05,18.95,-6.41,0.87,12.0,Polar Pharma India Ltd.,3.5299999999999994
1006,12.27,-11.28,3/31/2008,29.06,22.35,61.85,61.85,12.08,-2.57,25.93,6.12,0.58,12.0,Polar Pharma India Ltd.,0.9900000000000002
1007,12.27,-79.21,3/31/2009,2.16,68.2,32.19,32.19,13.19,-67.93,0.29,-40.49,0.1,12.0,Polar Pharma India Ltd.,-66.94
1008,12.27,-95.3,3/31/2010,0.15,16.21,28.78,28.78,7.42,-16.1,0.03,2.39,0.02,12.0,Polar Pharma India Ltd.,-83.03
1009,12.27,-108.84,3/31/2011,11.09,26.68,31.47,31.47,9.13,-13.53,10.92,-0.9,-0.04,12.0,Polar Pharma India Ltd.,-96.57000000000001
1010,,,,,,,,,,,,,,Polyinks Ltd.,
1011,,,,,,,,,,,,,,Polyinks Ltd.,
1012,,,,,,,,,,,,,,Polyinks Ltd.,
1013,,,,,,,,,,,,,,Polyinks Ltd.,
1014,,,,,,,,,,,,,,Polyinks Ltd.,
1015,,,,,,,,,,,,,,Polyinks Ltd.,
1016,,,,,,,,,,,,,,Polyinks Ltd.,
1017,,,,,,,,,,,,,,Polyinks Ltd.,
1018,0.75,2.45,3/31/2008,10.86,10.02,12.35,12.35,1.58,0.71,10.51,2.4,-5.23,12.0,Polyinks Ltd.,3.2
1019,0.75,1.69,3/31/2009,16.94,19.95,24.18,24.18,9.78,-0.76,16.52,-0.52,-2.39,12.0,Polyinks Ltd.,2.44
1020,4.5,-2.02,3/31/2010,23.84,21.57,22.56,22.56,3.42,2.86,23.68,,,12.0,R V R Technologies Ltd.,2.48
1021,4.5,-0.69,3/31/2011,28.64,27.98,23.58,23.58,5.45,1.33,28.53,,,12.0,R V R Technologies Ltd.,3.81
1022,4.5,-0.57,3/31/2012,24.33,24.33,24.78,24.78,7.19,0.12,24.02,,,12.0,R V R Technologies Ltd.,3.93
1023,4.5,-0.1,3/31/2013,44.19,43.62,24.25,24.25,7.36,0.47,43.98,,,12.0,R V R Technologies Ltd.,4.4
1024,4.5,0.19,3/31/2014,36.36,38.17,27.89,27.89,8.57,0.29,36.16,,,12.0,R V R Technologies Ltd.,4.69
1025,4.5,0.26,3/31/2015,45.47,47.03,28.96,28.96,11.26,0.11,45.15,,,12.0,R V R Technologies Ltd.,4.76
1026,4.5,0.32,3/31/2016,38.54,40.1,24.43,24.43,8.86,0.06,38.38,,,12.0,R V R Technologies Ltd.,4.82
1027,4.5,0.44,3/31/2017,50.54,51.37,25.74,25.74,10.44,0.12,50.47,1.27,-0.02,12.0,R V R Technologies Ltd.,4.94
1028,4.5,0.4,3/31/2018,13.26,14.16,26.27,26.27,11.18,-0.04,13.16,1.28,-0.07,12.0,R V R Technologies Ltd.,4.9
1029,4.5,-0.36,3/31/2019,31.24,29.75,24.83,24.83,17.17,-0.76,23.8,7.63,0.03,12.0,R V R Technologies Ltd.,4.14
1030,,,,,,,,,,,,,,Radikal Foods Ltd.,
1031,,,,,,,,,,,,,,Radikal Foods Ltd.,
1032,,,,,,,,,,,,,,Radikal Foods Ltd.,
1033,,,,,,,,,,,,,,Radikal Foods Ltd.,
1034,,,,,,,,,,,,,,Radikal Foods Ltd.,
1035,,,,,,,,,,,,,,Radikal Foods Ltd.,
1036,,,,,,,,,,,,,,Radikal Foods Ltd.,
1037,,,,,,,,,,,,,,Radikal Foods Ltd.,
1038,6.23,53.8,3/31/2012,346.83,393.89,306.38,306.38,211.32,11.64,344.52,-85.96,-2.26,12.0,Radikal Foods Ltd.,60.03
1039,10.63,117.94,3/31/2013,564.78,612.4,568.3,568.3,356.9,24.53,558.75,-167.52,-33.2,12.0,Radikal Foods Ltd.,128.57
1040,19.5,65.36,3/31/2001,0.26,0.26,85.14,85.14,0.27,0.0,,-14.03,14.07,12.0,Raghav Industries Ltd.,84.86
1041,19.5,65.38,3/31/2002,30.48,56.52,85.1,85.1,0.21,0.02,30.29,5.65,-5.68,12.0,Raghav Industries Ltd.,84.88
1042,19.5,65.4,3/31/2003,38.03,38.92,85.19,85.19,0.2,0.02,38.02,-0.62,0.53,12.0,Raghav Industries Ltd.,84.9
1043,19.5,65.41,3/31/2004,18.51,21.64,87.86,87.86,2.77,0.02,18.29,4.45,-4.25,12.0,Raghav Industries Ltd.,84.91
1044,19.5,65.25,3/31/2005,30.19,0.23,87.48,87.48,0.33,-0.16,30.18,55.76,-58.17,12.0,Raghav Industries Ltd.,84.75
1045,19.5,65.3,3/31/2006,9.76,9.72,91.0,91.0,3.8,0.04,9.75,-54.96,54.86,12.0,Raghav Industries Ltd.,84.8
1046,19.5,65.49,3/31/2007,43.34,43.14,90.64,90.64,4.65,0.2,37.65,14.08,-12.67,12.0,Raghav Industries Ltd.,84.99
1047,19.5,65.56,3/31/2008,27.43,27.37,88.77,88.77,2.21,0.06,25.21,-41.65,41.15,12.0,Raghav Industries Ltd.,85.06
1048,19.5,65.55,3/31/2009,26.0,26.0,90.68,90.68,4.13,0.0,26.0,76.37,-76.37,12.0,Raghav Industries Ltd.,85.05
1049,19.5,65.56,3/31/2010,29.93,29.92,85.23,85.23,0.17,0.01,29.93,4.09,-2.6,12.0,Raghav Industries Ltd.,85.06
1050,,,,,,,,,,,,,,Rahi Chemicals Ltd.,
1051,,,,,,,,,,,,,,Rahi Chemicals Ltd.,
1052,,,,,,,,,,,,,,Rahi Chemicals Ltd.,
